#name,strength,airport,city,country,description,type,latitude,longitude,,
Jimmy Carter Foundation,,ABY,,US,,Elite Destination,,,,
Banyan Tree Cabo Marqués,,ACA,Acapulco,MX,,Luxury Hotel,,,,
Sankt Gallen,,ACH,,CH,,Elite residential,,,,
Sankt Gallen,,ACH,,CH,,Elite residential,,,,
Nantucket,,ACK,,US,,Elite residential,,,,
Nantucket,,ACK,,US,,Elite residential,,,,
Bush Ranch,,ACT,,US,,Elite Destination,,,,
Reges,,ADB,,TR,Luxury Collection Hotels,Luxury Hotel,,,,
Sheraton Addis,,ADD,,ET,Luxury Collection Hotels,Luxury Hotel,,,,
Sequoia Lodge - Exclusive Adults Only Luxury,,ADL,South Australia,AU,Adults-only hotel within Mount Lofty Botanic Garden,Luxury Hotel,,,,
Puerto Madero,,AEP,Buenos Aires,AR,,Elite residential,,,,
Sochi,,AER,,RU,,Elite residential,,,,
Sochi,,AER,,RU,,Ski Resort,,,,
RODINA Grand Hotel And Spa,,AER,Sochi,RU,,Luxury Hotel,43.4031,39.9561,,
La Zambra,,AGP,,ES,Hyatt Unbound,Luxury Hotel,,,,
La Zambra Resort,,AGP,,ES,Hyatt Unbound,Luxury Hotel,,,,
Marbella Club Hotel,,AGP,Malaga,ES,,Luxury Hotel,,,,
ITC Mughal,,AGR,,IN,Luxury Collection Hotels,Luxury Hotel,,,,
The Oberoi Amarvilas,,AGR,,IN,The Oberoi,Luxury Hotel,,,,
The Masters Tournament,,AGS,,US,Exclusive golf tournament,Elite Destination,,,,
JW Marriott Auckland,,AKL,Auckland,NZ,JW Marriott,Luxury Hotel,,,,
Herne Bay,,AKL,Auckland,NZ,,Elite residential,,,,
Parnell,,AKL,Auckland,NZ,,Elite residential,,,,
Remuera,,AKL,Auckland,NZ,,Elite residential,,,,
Park Hyatt Auckland,,AKL,,NZ,,Luxury Hotel,,,,
The Ritz-Carlton Almaty,,ALA,,KZ,Ritz-Carlton,Luxury Hotel,,,,
Kok-Tobe District,,ALA,Almaty,KZ,,Elite residential,,,,
